id,shape,Vesc
12,quad,4.885
18,quad,7.766
17,quad,7.772
22,quad,9.744
27,quad,12.58
31,quad,12.833
33,quad,14.115
30,quad,14.306
34,quad,17.319
36,quad,17.319
35,quad,18.224
37,quad,19.714
39,quad,20.347
40,quad,20.942
43,quad,23.371
45,quad,24.792
46,quad,25.654
48,quad,29.568
49,quad,30.479
50,quad,35.677
57,quad,85.616
59,quad,93.962
58,quad,96.741
66,quad,575.391
68,quad,595.912
67,quad,609.929
69,quad,629.963
71,quad,667.306
78,quad,870.274
90,quad,1085.982
89,quad,1103.093
98,quad,1120.224
93,quad,1129.886
97,quad,1172.974
101,quad,1221.474
100,quad,1245.046
102,quad,1301.831
104,quad,1370.953
106,quad,1460.027
107,quad,1553.867
108,quad,1576.032
111,quad,1576.032
113,quad,1619.045
112,quad,1624.442
109,quad,1647.912
117,quad,1754.616
120,quad,1859.977
121,quad,2059.585
122,quad,2072.749
123,quad,2099.33
124,quad,2112.749
126,quad,2139.258
125,quad,2139.843
129,quad,2352.899
2,round,2.364
7,round,3.697
9,round,4.38
10,round,4.391
11,round,4.892
13,round,4.914
14,round,5.396
25,round,9.255
23,round,10.213
29,round,13.227
32,round,15.074
41,round,20.177
44,round,22.939
47,round,25.309
51,round,37.108
52,round,38.299
53,round,47.087
60,round,123.118
61,round,133.943
65,round,463.718
70,round,617.07
80,round,1000.121
88,round,1046.909
91,round,1124.38
95,round,1198.349
99,round,1211.618
103,round,1301.319
114,round,1690.45
118,round,1871.865
128,round,2183.207
127,round,2187.154
131,round,2562.645
1,triangle,1.099
3,triangle,2.585
4,triangle,2.691
5,triangle,2.898
6,triangle,3.384
8,triangle,4.19
15,triangle,6.299
16,triangle,7.351
19,triangle,8.185
20,triangle,8.253
21,triangle,8.259
24,triangle,10.08
26,triangle,11.46
28,triangle,12.163
38,triangle,18.682
42,triangle,20.762
54,triangle,49.146
55,triangle,50.962
56,triangle,77.791
62,triangle,456.316
64,triangle,458.59
63,triangle,466.542
72,triangle,617.315
73,triangle,827.299
75,triangle,883.25
74,triangle,883.717
79,triangle,902.28
76,triangle,903.87
77,triangle,926.959
81,triangle,957.271
83,triangle,976.907
82,triangle,976.943
85,triangle,1027.403
86,triangle,1031.347
92,triangle,1039.222
87,triangle,1039.873
84,triangle,1048.209
96,triangle,1106.613
94,triangle,1109.034
105,triangle,1357.741
110,triangle,1568.241
115,triangle,1580.341
116,triangle,1701.799
119,triangle,1777.069
130,triangle,2347.069
